"MAREJE","MARCOD","MARSOCNUM","MARENTCOD","MARENTNUM","MARENTPRE","MARSOCBARCOD","MAREST","MARFEC","MARHOR","MARREP","MARTERCOD"



"2026","28228","4110","0","0","0","2526000041105","0","2026-01-12","13:55:16","0","TERMINAL01"
"2026","28229","42","0","0","0","2526000000423","0","2026-02-01","11:02:41","0","TERMINAL01"







"2026","28230","105","0","0","0","2526000001055","0","2026-02-01","11:02:51","0","TERMINAL01"
"2026","28231","150","0","0","0","2526000001505","0","2026-02-01","11:02:53","0","TERMINAL02"
"2026","28232","233","0","0","0","2526000002335","0","2026-02-01","11:06:55","0","TERMINAL01"


"2026","28233","0","0","0","0","002342","2","2026-02-01","11:06:59","0","TERMINAL01"



"2026","28234","232","0","0","0","2526000002328","0","2026-02-01","11:07:33","0","TERMINAL02"
"2026","28235","231","0","0","0","2526000002311","0","2026-02-01","11:07:44","0","TERMINAL02"
"2026","28236","685","0","0","0","2526000006852","0","2026-02-01","11:07:51","0","TERMINAL02"
"2026","28237","109","0","0","0","2526000001093","0","2026-02-01","11:08:48","0","TERMINAL02"
"2026","28238","108","0","0","0","2526000001086","0","2026-02-01","11:08:53","0","TERMINAL02"
"2026","28239","5051","0","0","0","2526000050510","0","2026-02-01","11:09:09","0","TERMINAL01"
"2026","28240","1013","0","0","0","2526000010132","0","2026-02-01","11:09:34","0","TERMINAL02"
"2026","28241","36","0","0","0","2526000000362","0","2026-02-01","11:11:10","0","TERMINAL01"
"2026","28242","35","0","0","0","2526000000355","0","2026-02-01","11:11:12","0","TERMINAL01"
"2026","28243","1018","0","0","0","2526000010187","0","2026-02-01","11:11:54","0","TERMINAL01"
"2026","28244","1017","0","0","0","2526000010170","0","2026-02-01","11:11:57","0","TERMINAL01"
"2026","28245","600","0","0","0","2526000006005","0","2026-02-01","11:12:02","0","TERMINAL01"
"2026","28246","134","0","0","0","2526000001345","0","2026-02-01","11:12:05","0","TERMINAL01"
"2026","28247","113","0","0","0","2526000001130","0","2026-02-01","11:12:33","0","TERMINAL01"
"2026","28248","530","0","0","0","2526000005305","0","2026-02-01","11:14:00","0","TERMINAL02"
"2026","28249","319","0","0","0","2526000003196","0","2026-02-01","11:14:05","0","TERMINAL02"
"2026","28250","533","0","0","0","2526000005336","0","2026-02-01","11:14:10","0","TERMINAL02"
"2026","28251","351","0","0","0","2526000003516","0","2026-02-01","11:14:28","0","TERMINAL02"
"2026","28252","415","0","0","0","2526000004155","0","2026-02-01","11:14:47","0","TERMINAL01"
"2026","28253","607","0","0","0","2526000006074","0","2026-02-01","11:15:59","0","TERMINAL01"
"2026","28254","324","0","0","0","2526000003240","0","2026-02-01","11:16:01","0","TERMINAL02"
"2026","28255","168","0","0","0","2526000001680","0","2026-02-01","11:17:15","0","TERMINAL01"
"2026","28256","5012","0","0","0","2526000050121","0","2026-02-01","11:18:59","0","TERMINAL01"
"2026","28257","289","0","0","0","2526000002892","0","2026-02-01","11:19:00","0","TERMINAL02"
