"MAREJE","MARCOD","MARSOCNUM","MARENTCOD","MARENTNUM","MARENTPRE","MARSOCBARCOD","MAREST","MARFEC","MARHOR","MARREP","MARTERCOD"
"2025","17483","219","0","0","0","2324000002191","0","2025-01-12","11:36:22","0","TERMINAL02"
"2022","2","269","0","0","0","2223000002692","0","2022-07-29","19:55:32","0","TERMINAL02"
"2022","3","0","13","548","5","9222300005481","0","2022-07-29","20:02:28","0","TERMINAL01"
"2022","4","0","13","543","5","9222300005436","0","2022-07-29","20:03:33","0","TERMINAL01"
"2022","5","0","13","542","5","9222300005429","0","2022-07-29","20:03:35","0","TERMINAL01"
"2022","6","0","13","544","5","9222300005443","0","2022-07-29","20:03:43","0","TERMINAL01"
"2022","7","40","0","0","0","2122000000403","0","2022-07-29","20:04:28","0","TERMINAL01"
"2022","8","0","0","0","0","2009000137","2","2022-07-29","20:04:31","0","TERMINAL01"
"2022","9","144","0","0","0","2122000001448","0","2022-07-29","20:04:50","0","TERMINAL01"
"2022","10","0","13","540","5","9222300005405","0","2022-07-29","20:08:28","0","TERMINAL02"
"2022","11","0","0","0","0","05412","2","2022-07-29","20:08:31","0","TERMINAL02"
"2022","12","502","0","0","0","2122000005026","0","2022-07-29","20:10:48","0","TERMINAL02"



"2022","13","0","13","539","5","9222300005399","0","2022-07-29","20:14:49","0","TERMINAL01"




"2022","14","0","13","538","5","9222300005382","0","2022-07-29","20:14:51","0","TERMINAL01"
"2022","15","0","12","531","5","9222300005313","0","2022-07-29","20:14:53","0","TERMINAL01"
"2022","16","0","12","532","5","9222300005320","0","2022-07-29","20:14:58","0","TERMINAL01"
"2022","17","0","12","529","5","9222300005290","0","2022-07-29","20:15:03","0","TERMINAL02"
"2022","18","330","0","0","0","2122000003305","0","2022-07-29","20:19:07","0","TERMINAL02"
"2022","19","242","0","0","0","2122000002421","0","2022-07-29","20:19:54","0","TERMINAL01"
"2022","20","49","0","0","0","2122000000496","0","2022-07-29","20:20:03","0","TERMINAL01"
"2022","21","243","0","0","0","2122000002438","0","2022-07-29","20:20:05","0","TERMINAL02"
"2022","22","0","0","0","0","2009489","2","2022-07-29","20:20:06","0","TERMINAL02"
"2022","23","0","12","530","5","9222300005306","0","2022-07-29","20:21:09","0","TERMINAL02"
"2024","16406","0","384","803","10","9242500008037","0","2024-11-23","16:11:54","0","TERMINAL02"
"2025","25909","381","0","0","0","2526000003813","0","2025-11-02","16:22:46","0","TERMINAL01"
"2022","26","0","12","528","5","9222300005283","0","2022-07-29","20:23:30","0","TERMINAL02"
"2022","27","0","12","525","5","9222300005252","0","2022-07-29","20:23:35","0","TERMINAL02"
"2022","28","0","12","526","5","9222300005269","0","2022-07-29","20:23:41","0","TERMINAL02"
"2022","29","0","12","524","5","9222300005245","0","2022-07-29","20:23:48","0","TERMINAL02"
"2022","30","0","12","521","5","9222300005214","0","2022-07-29","20:23:50","0","TERMINAL02"
